OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025FB,2025-04-06T12:51:44.258688,13.80912612,.0193597,98.4340,130.3779,255.6542,102.3053,0,U,29857,999,91321,.22473E-2,.2693E-4,0
FENGYUN 1C DEB,1999-025FC,2025-04-06T20:47:39.348096,13.76856241,.0197182,99.2025,206.0764,4.9728,122.5309,0,U,29858,999,91114,.21657E-2,.2418E-4,0
FENGYUN 1C DEB,1999-025FD,2025-04-06T13:31:30.462528,13.72636327,.0296977,98.3640,322.6202,166.9538,193.9514,0,U,29859,999,90546,.30762E-2,.3838E-4,0
FENGYUN 1C DEB,1999-025FE,2025-04-06T19:36:55.619424,13.76069509,.0222022,98.6203,153.8708,295.2234,124.9667,0,U,29860,999,90700,.40659E-2,.4695E-4,0
FENGYUN 1C DEB,1999-025FK,2025-04-06T15:56:42.151200,14.78861514,.0122965,98.9423,339.4058,210.7450,209.9917,0,U,29865,999,97057,.1021E-2,.8476E-4,0
FENGYUN 1C DEB,1999-025FL,2025-04-06T21:56:05.909856,14.62749470,.019786,98.0182,89.0606,282.8617,104.7233,0,U,29866,999,96679,.72596E-3,.4852E-4,0
FENGYUN 1C DEB,1999-025FN,2025-04-06T20:25:18.256800,14.74585210,.0209774,97.9809,145.7725,89.3219,324.8623,0,U,29868,999,96608,.14058E-2,.13347E-3,0
FENGYUN 1C DEB,1999-025FP,2025-04-06T17:37:06.266784,14.36235671,.0088832,98.8617,19.7385,27.7325,2.4729,0,U,29869,999,95231,.87415E-3,.2622E-4,0
FENGYUN 1C DEB,1999-025FQ,2025-04-06T22:32:27.960000,14.28860356,.0119749,98.4294,75.6918,208.5023,217.2045,0,U,29870,999,95026,.11438E-3,.268E-5,0
FENGYUN 1C DEB,1999-025FR,2025-04-06T18:57:56.968416,14.40706293,.0060659,98.9499,37.7644,127.3805,287.3505,0,U,29871,999,95100,.17612E-2,.5707E-4,0
